city,t_d
Altamonte Springs,{'FAMILY FUN ': 'Visit the area’s kid-friendly parks and attractions. Urban Air Adventure Park Congo River Golf Orlando Ice Den Wekiwa Springs State Park Theme parks More attractions'}
Altamonte Springs,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Discover Orlando North’s art and culture scene. Art, culture, and history Nightlife and entertainment Events'}"
Altamonte Springs,{'OUTDOOR ADVENTURES ': 'Explore the parks and hit the trails. Birding Wildlife Biking Camping Fishing Hiking Paddling City parks and trails More outdoors and nature'}
Altamonte Springs,{'WATERWAYS ': 'Fish and paddle the waterways. Lake Orienta Little Wekiva River Cranes Roost Lake'}
Altamonte Springs,{'BEACHES ': 'Take a trip to east coast beaches. New Smyrna Beach Daytona Beach More beaches'}
Altamonte Springs,{'ACCESSIBILITY ': 'Check out the area’s accessible attractions. Wheelchair-accessible itinerary Special needs services and resources guide'}
Altamonte Springs,{'DINING ': 'Choose from a variety or restaurants uptown and at the Altamonte Mall. Altamonte Mall restaurants More places to eat and drink'}
Altamonte Springs,{'SHOPPING ': 'Find plenty of places to shop at the Altamonte Mall and beyond. Uptown Altamonte Altamonte Mall Antiquing in Seminole County More places to shop'}
Altamonte Springs,{'PLACES TO STAY ': 'Book a hotel stay in Altamonte Springs. Embassy Suites by Hilton Orlando North Hampton Inn & Suites Orlando-North/Altamonte Springs Hilton Orlando/Altamonte Springs More places to stay'}
Apopka,{'WATERWAYS ': 'Explore the area’s waterways. Rock Springs Wekiva River Wekiwa Springs Lake Apopka'}
Apopka,{'FAMILY FUN ': 'Tube in the spring and visit the parks and playgrounds. Apopka Splash Pad Kelly Park tubing City parks and playgrounds'}
Apopka,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Attend local events, see the museum, and explore the arts and culture scene in nearby Orlando. The Apopka Museum Apopka Art & Foliage Festival More events Orlando arts and culture'}"
Apopka,"{'OUTDOOR ADVENTURES ': 'Bike, hike, tube, paddle, and swim at some of Central Florida’s most scenic parks and trails. Wekiwa Springs State Park King’s Landing Kelly Park West Orange Trail Lake Apopka Loop Trail Lake Apopka Wildlife Drive Paddleboard and kayak rentals'}"
Apopka,{'ACCESSIBILITY ': 'Check out the area’s accessible parks and attractions. Wekiwa Springs State Park Wheelchair-accessible trails Accessible travel information'}
Apopka,{'DINING ': 'Visit some of Apopka’s favorite local restaurants or venture into Orlando for endless dining options. The Nauti Lobstah Garibaldi Mexican Restaurant Eggs Up Grill More Apopka restaurants Places to eat and drink in Orlando'}
Apopka,{'SHOPPING ': 'Find retail therapy at Apopka’s stores and shops. Shopping and specialty retail Home and garden Places to shop in Orlando'}
Apopka,"{'SPORTS ': 'Tee off on a local golf course, play a game of football or baseball, or hit the tennis courts. Forest Lake Golf Club Wekiva Golf Club Northwest Recreation Complex Tennis'}"
Apopka,{'PET': '-'}
Apopka,{'FRIENDLY ADVENTURES ': 'Explore dog-friendly parks and trails. Doctors’ Dog Park West Orange Trail Wekiwa Springs State Park Pet-friendly places to stay'}
Apopka,{'PLACES TO STAY ': 'Choose from a wide variety of accommodations in Apopka and the surrounding areas. Condos and vacation rentals Hotels and resorts Campgrounds and'}
Apopka,{'RV ': 'parks A day at Wekiva Springs State Park'}
Apopka,{'A ': 'day at Wekiva Springs State Park'}
Bartow,{'WATERWAYS ': 'The famed Peace River begins in Bartow. Peace River Lake Hancock'}
Bartow,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Visit the museums and check out local events. L.B. Brown House and Museum African American Heritage Museum Polk County History Center Bartow Airbase History Museum Wonder House L.B. Brown Festival Downtown events More events'}"
Bartow,{'OUTDOOR ADVENTURES ': 'Explore the parks and trails. Fishing and boating Mosaic Peace River Park Polk’s Nature Discovery Center Circle B Bar Reserve Fort Fraser Trail Panther Point Trail Bartow Peace River Landing City parks County parks'}
Bartow,"{'B ': 'Bar Reserve can be found just 10 miles north of town, and Mosaic Peace River Park is about seven miles south of town. While in the area, families of all ages will want to check out nearby attractions including'}"
Bartow,{'FAMILY FUN ': 'Find family-friendly entertainment and attractions in Bartow and the surrounding areas. City parks and playgrounds 555 Triple Nickel Raceway Central Florida kid-friendly attractions Spring break ideas'}
Bartow,{'ACCESSIBILITY ': 'Check out accessible attractions and parks. Fort Fraser Trail Central Florida accessible attractions'}
Bartow,{'DINING ': 'Find an array of dining options downtown. Restaurants Bakeries More places to eat and drink'}
Bartow,"{'SHOPPING ': 'Shop for gifts, collectibles, books, and more. Bartow Antiques & Collectibles Market Gift boutiques Apparel Books and collectibles More retail stores'}"
Bartow,{'SPORTS ': 'Play a round of golf in Bartow. Bartow Golf Course The Club at Eaglebrooke More sports'}
Bartow,{'PLACES TO STAY ': 'Choose from the area’s hotels and resorts. Hotels Resorts More places to stay Paddling the Peace River'}
Celebration,"{'FAMILY FUN ': 'Ride bikes by the water, stroll through town, and visit nearby theme parks. Celebration Bicycle Rental Nearby theme and amusement parks'}"
Celebration,"{'ENTERTAINMENT ': 'See a movie, check out local events, and visit the nearby attractions. Movies Events Nearby attractions'}"
Celebration,{'OUTDOOR ADVENTURES ': 'Take a bicycle ride by the waterfront or go for a horse-drawn carriage ride. Horse-drawn carriage rides'}
Celebration,"{'ACCESSIBILITY ': 'Visit the area’s accessible attractions, hotels, and restaurants. Accessible travel Accessible attractions'}"
Celebration,{'DINING ': 'Celebration’s restaurants offer a variety of cuisines and sweet treats Top restaurants in Celebration'}
Celebration,"{'SHOPPING ': 'Shop for clothing, unique gifts, and more. Places to shop'}"
Celebration,"{'SPAS ': 'Book a manicure or spa treatment. Instyle Nail & Spa Lavender, The Spa'}"
Celebration,{'GOLF ': 'Hit the links at one of the area’s premier golf courses. Celebration Golf Club'}
Celebration,"{'PLACES TO STAY ': 'Stay at the upscale Celebration Hotel, just five minutes from Walt Disney World, or nearby vacation rental, resort, hotel, or campground. Celebration Hotel Places to stay in the Kissimmee area'}"
Clermont,{'WATERWAYS ': 'Clermont is home to a number of lakes and waterways. Lake Minneola Lake Minnehaha Lake Louisa Palatlakaha River Clermont Chain of Lakes More lakes and waterways'}
Clermont,{'FAMILY FUN ': 'Visit local farms and attractions for kid-friendly fun. Showcase of Citrus Citrus Tower Presidents Hall of Fame Southern Hill Farms Kid Zone Blueberry Hill Farm Champions Splash Park Palatlakaha Park'}
Clermont,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Learn about the city’s history and check out special events. Clermont Historic Village South Lake Art League Events'}"
Clermont,{'OUTDOOR ADVENTURES ': 'Explore the parks and preserves. Lake Louisa State Park Lake Hiawatha Preserve Florida Coast to Coast Trail South Lake Trail Birding Fishing Paddling Blueways Hiking'}
Clermont,{'DINING ': 'Discover the unique flavors of Clermont’s restaurants and breweries. The Crooked Spoon Southern on 8th Root & Branch Bistro + Bar Guru Restaurant Suncreek Brewery Clermont Brewing Company Lakeridge Winery Lake Minneola Inn Tiki Bar & Grill Montrose Street Market Downtown dining More places to eat'}
Clermont,{'SHOPPING ': 'Shop the boutiques of downtown Clermont. Downtown Clermont shopping More places to shop'}
Clermont,{'SPORTS ': 'See why Clermont is known as the “Choice of Champions.” National Training Center Clermont National Golf Course Kings Ridge Golf Club More sports'}
Clermont,"{'PLACES TO STAY ': 'Stay at a charming bed and breakfast, comfortable hotel, or scenic campground. Lake Minneola Inn Hampton Inn & Suites Clermont Fairfield Inn & Suites Clermont Lake Louisa State Park Thousand Trails Orlando Family fun at Showcase of Citrus'}"
Dunnellon,"{'WATERWAYS ': 'Swim, paddle, and explore the scenic waterways. Rainbow River Rainbow Springs Withlacoochee River Lake Rousseau'}"
Dunnellon,{'FAMILY FUN ': 'Check out the area’s family-friendly attractions and activities. Rainbow River tubing Horseback riding Blueberry picking More family-friendly activities and attractions'}
Dunnellon,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Visit the train depot, see local art, and check out Dunnellon events. Dunnellon Historic Train Depot Rainbow Springs Art Events'}"
Dunnellon,"{'OUTDOOR ADVENTURES ': 'Swim in the springs, paddle and fish on the river, and hit the trails. Canoeing and kayaking Rainbow Springs State Park Withlacoochee State Trail Ross Prairie Trailhead and Campground Boating Hiking Biking Agritourism Parks Fishing Birding \u200b'}"
Dunnellon,{'ACCESSIBILITY ': 'Visit the area’s accessible parks. Rainbow Springs State Park Withlacoochee State Trail'}
Dunnellon,{'DINING ': 'Grab a bite at a waterfront restaurant or popular downtown eatery. The Blue Gator Tiki Bar & Restaurant Swampy’s Bar & Grille Breakfast Station Juliette Falls Restaurant More restaurants'}
Dunnellon,"{'SHOPPING ': 'Browse clothing, antiques, collectibles, and more. Dunnellon’s Historic Village More places to shop'}"
Dunnellon,{'SPORTS ': 'Hit the links or take to the sky for an unforgettable adventure. Golf courses Skydiving'}
Dunnellon,{'PET': '-'}
Dunnellon,{'FRIENDLY ADVENTURES ': 'Four-legged family members are welcome at Dunnellon’s pet-friendly restaurants and attractions. Swampy’s Bar & Grille The Blue Gator Tiki Bar & Restaurant Rainbow Springs State Park Dog-friendly travel guide'}
Dunnellon,"{'PLACES TO STAY ': 'Book a stay at a campground, hotel, or vacation rental. Hotels and motels'}"
Dunnellon,{'RV ': 'parks and campgrounds Vacation rentals Cabins 360-degree tour of Rainbow Springs State Park'}
Eatonville,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Learn about Eatonville’s history and its most famous former resident. Zora Neale Hurston National Museum of Fine Art'}"
Eatonville,"{'ZORA': '! Festival , which lasts for much of the year , beginning on her birthday in January and ending in October. Eatonville, called “The Town that Freedom Built,” was established in the late 1800s by formerly enslaved people, and visitors can take a self-guided walking tour of the historic area, including the Hurston homesite, starting at the Hungerford School and ending at Mack’s Auto Repair Garage . Mouth-watering soul food and more can be found at Eatonville’s restaurants, which include Kook’n with Kim , Soul Food Fantasy , and Tommy’s Kitchen . While in town, a visit to the Audubon Center for Birds of Prey is a must for birding and nature enthusiasts, and city parks offer a variety of outdoor activities. World-class dining and entertainment options can be found in downtown Orlando just five miles south of Eatonville. Plan your trip at Visit Orlando .'}"
Eatonville,{'FAMILY FUN ': 'Explore the many kid-friendly attractions in the Orlando area. Eatonville Branch Library Orlando kid-friendly travel'}
Eatonville,{'OUTDOOR ADVENTURES ': 'Visit the parks and Audubon center. Audubon Center for Birds of Prey City parks Orlando outdoors and nature'}
Eatonville,{'DINING ': 'Enjoy soul food and Southern favorites in Eatonville. Kook’n with Kim Soul Food Fantasy Tommy’s Kitchen DaJen Eats Dining in Orlando'}
Eatonville,{'BEACHES ': 'Eatonville is less than an hour away from east coast beaches. Daytona Beach Ponce Inlet More beaches'}
Eatonville,{'ACCESSIBILITY ': 'Check out accessible attractions and activities in the Orlando area. Orlando Accessibility Guide Special needs services and resources'}
Eatonville,{'SHOPPING ': 'Find endless places to shop in Orlando. Orlando neighborhood shopping Orlando malls Orlando outlets'}
Eatonville,{'PLACES TO STAY ': 'Choose from a wide selection of hotels and vacation rentals. Orlando hotels and resorts Orlando vacation rentals More places to stay in Orlando The annual Zora Neale Hurston Festival of the Arts and Humanities'}
Kissimmee,{'FAMILY FUN ': 'Explore the theme parks and see wildlife up close. Theme and amusement parks Budget-friendly theme parks Animal encounters and wildlife'}
Kissimmee,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Watch live performances, see world-class art and museums, and check out festivals and events. Entertainment and shows Arts and culture Festivals and events'}"
Kissimmee,"{'OUTDOOR ADVENTURES ': 'Take an airboat tour, do some freshwater fishing, and explore the parks and trails. Airboat tours Trails and bike paths Parks Boating and watersports Fishing Airborne adventures Birding'}"
Kissimmee,{'WATERWAYS ': 'Kissimmee’s lakes offer plenty of opportunities for paddling and world-class freshwater fishing. Lake'}
Kissimmee,{'PET': '-'}
Kissimmee,"{'FRIENDLY ADVENTURES ': 'Take your dog along with you to Kissimmee’s pet-friendly hotels, parks, and restaurants. Shingle Creek Regional Park Pet-friendly places to stay Dog-friendly vacation planning'}"
Kissimmee,{'ACCESSIBILITY ': 'Visit the area’s many accessible attractions and places to stay. Accessible travel'}
Kissimmee,{'DINING A ': 'world of culinary experiences awaits in Kissimmee’s many restaurants and cafes. Restaurants Taste of Kissimmee'}
Kissimmee,"{'SHOPPING ': 'Find something for everyone at the Kissimmee area’s boutiques, luxury stores, outlet malls, outdoor shopping hubs. Places to shop'}"
Kissimmee,{'SPAS ': 'Relax with a treatment at one of Kissimmee’s luxurious spas. Spas'}
Kissimmee,{'SPORTS ': 'Hit the links at a championship golf course and check out a wide range of spectator sports in the area. Golf Spectator sports'}
Kissimmee,"{'PLACES TO STAY ': 'Book a stay at one of the area’s many vacation rentals, hotels, resorts, or campgrounds. Vacation rentals Hotels and resorts Campgrounds and'}"
Kissimmee,{'RV ': 'parks Experience Kissimmee One Fun Day in Kissimmee'}
Lake Buena Vista,{'THEME PARKS ': 'The area’s theme parks are where to go for all kinds of family fun. Magic Kingdom'}
Lake Buena Vista,{'EPCOT ': 'Disney’s Hollywood Studios Disney’s Animal Kingdom'}
Lake Buena Vista,{'WATER PARKS ': 'Cool off and splash the day away at Disney’s water parks. Disney’s Typhoon Lagoon Disney’s Blizzard Beach'}
Lake Buena Vista,{'FAMILY FUN ': 'Find endless entertainment for kids of all ages at Disney parks and resorts. Magical experiences for younger children Things for families to do Family-friendly vacation planning'}
Lake Buena Vista,"{'ENTERTAINMENT ': 'Check out magical events, explore entertainment districts, and meet some famous characters. Attractions and entertainment Character experiences Events and tours'}"
Lake Buena Vista,"{'OUTDOOR ADVENTURES ': 'Enjoy the great outdoors, theme park-style. Fishing Diving Balloon rides Carriage rides Kayak and canoe rentals Horseback riding Bicycle rentals Camping'}"
Lake Buena Vista,"{'ACCESSIBILITY ': 'Explore accessible attractions, activities, and resorts. Walt Disney World accessibility Services for guests with mobility disabilities Services for guests who are neurodivergent Services for guests with vision impairments'}"
Lake Buena Vista,{'DINING ': 'Find a wide variety of dining options and world-class cuisine. Character dining Fine dining Quick service Table service Dining at Disney Springs Places to eat and drink in Orlando'}
Lake Buena Vista,{'SHOPPING ': 'Shop the retail spaces from Disney Springs to Downtown Disney and beyond. Disney shopping districts Shopping at Disney Springs All Disney World shopping Places to shop in Orlando'}
Lake Buena Vista,"{'SPAS & FITNESS ': 'Keep fit, relax, and unwind. Massages Spas and fitness centers'}"
Lake Buena Vista,{'SPORTS ESPN ': 'Wide World of Sports Complex hosts thousands of sports events and more than 60 sports.'}
Lake Buena Vista,{'ESPN ': 'Wide World of Sports Complex hosts thousands of sports events and more than 60 sports.'}
Lake Buena Vista,{'PLACES TO STAY ': 'Stay at a Disney hotel or resort or at one of the many hotels in the surrounding area. Resorts Walt Disney World Dolphin Hotel Walt Disney World Swan Hotel Places to stay in Orlando Princess for a day /* collection helper generated css */ .callout-tiles-1-across-fullwidth .img-cont {padding-bottom: calc(100% * 284 / 360);height: 0;background-color: #333;}@media screen and (min-width: 400px) {.callout-tiles-1-across-fullwidth .img-cont {padding-bottom: calc(100% * 472 / 599);}}@media screen and (min-width: 640px) {.callout-tiles-1-across-fullwidth .img-cont {padding-bottom: calc(100% * 462 / 1023);}}@media screen and (min-width: 1024px) {.callout-tiles-1-across-fullwidth .img-cont {padding-bottom: calc(100% * 650 / 1440);}}@media screen and (min-width: 1440px) {.callout-tiles-1-across-fullwidth .img-cont {padding-bottom: calc(100% * 867 / 1920);}} Where to Eat'}
Lake Mary,{'FAMILY FUN ': 'Visit kid-friendly attractions. Arcade Monsters Planet Obstacle Trailblazer Park Theme parks Budget-friendly fun Family-friendly water activities'}
Lake Mary,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Learn about the city’s history and check out local events. Art, culture, and history Attractions Events Nightlife and entertainment'}"
Lake Mary,{'OUTDOOR ADVENTURES ': 'Explore the parks and bike the trails. Cross Seminole Trail Greenwood Lakes Park Seminole Wekiva Trail City parks More nature and outdoors'}
Lake Mary,{'BEACHES ': 'Lake Mary is just 35 miles from New Smyrna Beach. New Smyrna Beach More beaches Beach day trips'}
Lake Mary,{'ACCESSIBILITY ': 'Visit accessible theme parks and other attractions. Wheelchair-accessible itinerary Special needs services and resources guide'}
Lake Mary,"{'DINING ': 'Enjoy elegant dining, cozy coffee shops, and more. Lake Mary Social NewCity Coffee Co. Citrus City Craft Downtown restaurants More places to eat and drink'}"
Lake Mary,{'SHOPPING ': 'Do some shopping at the stores downtown and pick up local goods at the farmers market. Lake Mary Farmers Market Downtown Lake Mary shopping Colonial Town Park More places to shop'}
Lake Mary,{'SPAS & WELLNESS ': 'Unwind with a spa treatment or yoga session. So Flo Hot Yoga Guruv Yoga and Pilates Spas'}
Lake Mary,{'GOLF ': 'Take golf lessons and check out Orlando North’s public and semi-private courses. Topgolf Lake Mary Timacuan Golf & Country Club More golf courses'}
Lake Mary,"{'PLACES TO STAY ': 'Choose from the area’s many hotels and resorts. The Westin Lake Mary, Orlando North Orlando Marriott Lake Mary Candlewood Suites Lake Mary More places to stay'}"
Lake Placid,{'FAMILY FUN ': 'Spend time outside and check out kid-friendly attractions. Attractions Top family-friendly bike trails Family-friendly events and activities'}
Lake Placid,"{'OUTDOOR ADVENTURES ': 'Explore rugged natural areas, fish the lakes, and spot rare plants and animals. Lake June-in-Winter Scrub Preserve State Park Highlands Hammock State Park Birding Boat ramps Fishing'}"
Lake Placid,{'WATERWAYS ': 'Lake Placid boasts 27 freshwater lakes. Lake Istokpoga Lake June in Winter More lakes'}
Lake Placid,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'See the murals, visit the depot museum, and check out local festivals and events. Murals of Lake Placid Lake Placid Historical Society Depot Museum Tour Lake Placid'}"
Lake Placid,{'ACCESSIBILITY ': 'Visit the area’s accessible attractions and trails. Sebring International Raceway Highlands Hammock State Park Wheelchair-accessible trails'}
Lake Placid,{'DINING ': 'Enjoy a variety of cuisines from Italian to Salvadoran. La Pupusa Queen Schooni’s Italian American More local dining Chain restaurants'}
Lake Placid,"{'SHOPPING ': 'Shop for clothing, gifts, pet gear, and more in the stores downtown. Shops on Main Local stores Chain stores'}"
Lake Placid,{'GOLF ': 'Tee off on the area’s golf courses all year long. Lake June West Golf Course Placid Lakes Golf Course More golf courses'}
Lake Placid,{'PET': '-'}
Lake Placid,{'FRIENDLY ADVENTURES ': 'Explore dog-friendly parks and attractions. Highlands Hammock State Park Lake Placid Farmers Market Pet-friendly travel information'}
Lake Placid,{'PLACES TO STAY ': 'Choose from a variety of accommodations to suit any travel style Fish camps Hotels and motels'}
Lake Placid,{'RV ': 'parks and campgrounds Vacation rentals Highlands County in 60 seconds'}
Lake Wales,"{'WATERWAYS ': 'Fish, boat, and paddle on the area’s scenic waterways. Lake Wailes Lake Kissimmee Crooked Lake Lakes, ramps, and canals'}"
Lake Wales,{'FAMILY FUN ': 'Spend time at some of Florida’s most kid-friendly attractions.'}
Lake Wales,{'LEGOLAND ': 'Florida Resort just north of Lake Wales in Winter Haven . Plan your trip at Visit Central Florida .'}
Lake Wales,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Catch a live performance and see historic buildings and art exhibitions. Historic architecture tour Lake Wales History Museum Lake Wales Art Council Lake Wales Little Theater Indoor activities Events'}"
Lake Wales,"{'OUTDOOR ADVENTURES ': 'Take a relaxing hike in nature, do some fishing, or take to the skies for an adrenaline-filled adventure. Fishing guide services Nature and hiking Lake activities Gardens and parks City parks Skydiving'}"
Lake Wales,{'ACCESSIBILITY ': 'Visit the area’s accessible parks and attractions. Bok Tower Gardens'}
Lake Wales,{'LEGOLAND ': 'Florida Resort just north of Lake Wales in Winter Haven . Plan your trip at Visit Central Florida .'}
Lake Wales,"{'DINING ': 'Sample the local cuisines, from upscale dining to food-truck fare. Restaurants and bars Food trucks Ice cream shops More places to eat and drink'}"
Lake Wales,{'SHOPPING ': 'Shop for clothing and gifts downtown and pick up fresh produce at the farmers market. Downtown shopping Gift shops Florists Lake Wales Downtown Farmers Market. Eagle Ridge Mall'}
Lake Wales,{'GOLF ': 'Tee off on the area’s sunny golf courses all year long. Lake Wales Country Club More places to golf'}
Lake Wales,{'PET': '-'}
Lake Wales,{'FRIENDLY ADVENTURES ': 'Four-legged family members can join in the fun at the area’s pet-friendly parks and attractions. Bok Tower Gardens John C. “Doc” Harmony Dog Park More dog-friendly places'}
Lake Wales,"{'PLACES TO STAY ': 'Choose from a variety of places to stay, from vacation rentals to resorts. Hotels Vacation rentals Resorts'}"
Lake Wales,"{'RV ': 'spaces. Other popular eateries in the area include Crazy Fish Bar & Grill , Norbys Steak & Seafood , and Manny’s Original Chophouse . While in Lake Wales, families with children won’t want to miss a visit to'}"
Lakeland,"{'FAMILY FUN ': 'Visit the children’s museum, parks, and other family-friendly attractions. Florida Children’s Museum U-pick farms and farm tours More kid-friendly attractions'}"
Lakeland,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'See live musical performances and check out the museums. Museums Arts and culture Performing arts Attractions Events'}"
Lakeland,"{'OUTDOOR ADVENTURES ': 'Hike the trails, explore the gardens and parks, and get on the water. Nature and hiking Gardens, parks, and playgrounds Aviation Fishing Lake activities'}"
Lakeland,{'WATERWAYS ': 'There are 38 named lakes within the city limits of Lakeland. Lakes'}
Lakeland,{'ACCESSIBILITY ': 'Visit accessible parks and attractions. Accessible attractions Accessible city parks and facilities'}
Lakeland,{'DINING AND NIGHTLIFE ': 'Explore Lakeland’s culinary scene and wind down at a craft cocktail bar or brewery. Restaurants Nightlife'}
Lakeland,"{'SHOPPING ': 'Browse vintage items, antiques, souvenirs, art, and more. Places to shop'}"
Lakeland,{'PET': '-'}
Lakeland,"{'FRIENDLY ADVENTURES ': 'Bring your four-legged family member along to pet-friendly parks, attractions, and restaurants. Dog-friendly things to do'}"
Lakeland,{'SPORTS ': 'See a Detroit Tigers spring training game and tee off on a championship course. Detroit Tigers spring training Golf More sports'}
Lakeland,"{'PLACES TO STAY ': 'Book a stay at a hotel, vacation rental, resort, or campground. Places to stay Lakeland and Winter Haven in 60 seconds'}"
Mount Dora,{'WATERWAYS ': 'Take a guided eco-tour or paddle along Mount Dora’s scenic waterways. Lake Dora Dora Canal'}
Mount Dora,{'FAMILY FUN ': 'Visit the parks and kid-friendly attractions and events. Family-friendly adventures'}
Mount Dora,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Visit the museums and art galleries. Modernism Museum Mount Dora Mount Dora History Museum Mount Dora Center for the Arts More arts and entertainment'}"
Mount Dora,"{'OUTDOOR ADVENTURES ': 'Fish for bass in Lake Dora, paddle, and explore the parks. Trails Fishing City parks Kayak and paddleboard rentals Segway rentals Boating and marinas Dora Canal eco-tours'}"
Mount Dora,{'PET': '-'}
Mount Dora,"{'FRIENDLY ADVENTURES ': 'Take your four-legged family member along with you to Mount Dora’s pet-friendly bed and breakfasts, restaurants, and parks. Lincoln Avenue Community Park dog park Pet-friendly travel guide'}"
Mount Dora,{'ACCESSIBILITY ': 'Explore Mount Dora’s wheelchair-accessible parks and attractions. Accessibility information'}
Mount Dora,"{'DINING ': 'Sit down to an elegant dinner on the waterfront, grab a local craft brew, Places to eat'}"
Mount Dora,"{'SHOPPING ': 'Find antiques, art, gifts, and boutique clothing in the shops of Mount Dora. Places to shop'}"
Mount Dora,{'GOLF ': 'Hit the links on one of the area’s scenic golf courses. Mount Dora Golf Club Deer Island Country Club'}
Mount Dora,"{'PLACES TO STAY ': 'Book a stay at a historic inn, bed and breakfast, hotel, or vacation rental. Mount Dora Historic Inn Lakeside Inn Other places to stay'}"
Mount Dora,{'LGBTQ ': 'travel: Mount Dora'}
Ocala,"{'FAMILY FUN ': 'See wild manatees, swim in the springs, and take a scenic glass-bottom boat tour. Glass-bottom boat tours Manatee viewing More family-friendly things to do'}"
Ocala,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Watch a ballet performance, listen to the symphony orchestra, and visit the museums and galleries. Museums and galleries History Performing arts Attractions'}"
