city,t_d
Ocala,"{'OUTDOOR ADVENTURES ': 'From woods to water, there are endless ways to explore the outdoors in Ocala and Marion County. Boating and paddling Birding Water activities Fishing Parks Biking Zip-lining Hiking Equestrian activities Off-road activities and racing Agritourism and u-pick farms'}"
Ocala,"{'WATERWAYS ': 'Visit the area’s lakes, rivers, and popular freshwater springs. Springs Silver River Lake Bryant More waterways'}"
Ocala,{'PET': '-'}
Ocala,"{'FRIENDLY ADVENTURES ': 'Take your furry friend to pet-friendly restaurants, parks, and events. Dog-friendly travel guide'}"
Ocala,{'ACCESSIBILITY ': 'Visit the area’s accessible attractions. Glass-bottom boat tours Chelsea Art Center Hampton Aquatic Center Jervey Gantt Recreation Complex'}
Ocala,"{'DINING ': 'Enjoy fresh fare al fresco in the historic downtown area, sample wine and gourmet food at a vineyard, or choose from a selection of international, fine dining, and Southern restaurants. Places to eat and drink'}"
Ocala,{'SHOPPING ': 'Find what you’re looking for in the shops and markets of Ocala and Marion County. Places to shop'}
Ocala,"{'SPAS AND RELAXATION ': 'Book a relaxing spa treatment or yoga session. Spas, yoga, and wellness'}"
Ocala,{'GOLF ': 'The Ocala and Marion County area is home to more than 20 championship golf courses. Golf courses'}
Ocala,"{'PLACES TO STAY ': 'Choose from hotels and motels, vacation rentals, cabins, and campgrounds. Places to stay Ocala and Marion County in 60 seconds'}"
Orlando,{'THEME PARKS ': 'Florida is epicenter of the world for theme parks. Orlando is the capital. Walt Disney World Resort Universal Orlando Resort SeaWorld Orlando'}
Orlando,{'LEGOLAND ': 'Florida Resort'}
Orlando,"{'FAMILY FUN ': 'Indoors and outdoors, in the air and underwater, the family activities will stimulate the senses and expand the mind. Water Parks Museums Free Things to Do'}"
Orlando,"{'OUTDOOR ADVENTURES ': 'You can be a participant: swimming, paddling, golfing, hiking, cycling, and fishing. You can be a spectator: championship golf tournaments, and professional basketball and soccer. Springs Golf Airboats'}"
Orlando,"{'SHOPPING ': ""From Orlando's outlet malls to Winter Park's Main Street to Disney Springs and Celebration, there is a smorgasbord of shopping tastes: elite brands, neighborhood-vibe boutiques, and welcome discounts Outlets Malls Local Retail""}"
Orlando,"{'FOOD ': ""In one of the world's entertainment capitals, it makes sense that there are a proportional variety of cuisines and number of award-winning culinary experiences. Restaurants Nightlife Breweries Michelin: Best Japanese Restuarants Michelin: Best Brunches""}"
Orlando,{'PLACES TO STAY ': 'You can stay in a resort on the campus of an attraction -- with a water park for a swimming pool. You can bring the extended family to a vacation home. Imagine it. You can have it. Hotels Vacation Homes Pet-Friendly'}
Orlando,"{'SEE THE CITY ': 'Remember these names, Milk District, Mills 50, Thornton Park, SoDo, Audubon Park, and Ivanhoe Village. Cool Neighborhoods I-Drive Orlando in 60 seconds'}"
Oviedo,{'FL': '.'}
Oviedo,"{'WATERWAYS ': 'Fish, boat, and paddle the waterways. Lake Jesup Econlockhatchee River'}"
Oviedo,{'FAMILY FUN ': 'Go for an airboat tour and visit kid-friendly attractions. The Black Hammock Black Hammock Bee Farms Lukas Nursery Butterfly Encounter Theme parks Attractions'}
Oviedo,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Experience the area’s arts and culture scene. Art, culture, and history Nightlife and entertainment Events'}"
Oviedo,"{'OUTDOOR ADVENTURES ': 'Hike, bike, and explore the parks. Birding Wildlife Biking Camping Fishing Hiking Paddling City parks More outdoors and nature'}"
Oviedo,{'BEACHES ': 'Take a day trip to Atlantic beaches. New Smyrna Beach Daytona Beach Ponce Inlet More beaches'}
Oviedo,{'ACCESSIBILITY ': 'Check out the area’s accessible attractions. Wheelchair-accessible itinerary Special needs services and resources guide'}
Oviedo,{'DINING ': 'Grab a craft beer at a local brewery and explore Oviedo’s diverse restaurants. Oviedo restaurants More places to eat and drink'}
Oviedo,{'SHOPPING ': 'Get some retail therapy in Oviedo and Orlando North. Oviedo Mall Altamonte Mall Antiquing in Seminole County More places to shop'}
Oviedo,{'SPAS ': 'Indulge in a spa treatment. Day Spa of Oviedo Allora Day Spa Oviedo More spas'}
Oviedo,{'SPORTS ': 'Hit the tennis courts or golf courses. Tennis and tennis lessons Twin Rivers Golf Club More places to golf'}
Oviedo,"{'PLACES TO STAY ': 'Choose from hotels, motels, vacation rentals, and more in Orlando North. Oviedo hotels and lodging More places to stay'}"
Sanford,{'FAMILY FUN ': 'Check out family-friendly attractions and activities. Escape Artists Seminole Aerial Adventures Family-friendly itinerary Spring break family activities Theme parks'}
Sanford,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'See public art displays, take a ghost tour, and learn about the area’s history. Public art History and preservation Attractions Arts, culture, and history Tours'}"
Sanford,"{'OUTDOOR ADVENTURES ': 'Hit the trails, explore the parks, and get out on the water. City parks Parks, activities, and boat tours Hiking and biking trails'}"
Sanford,{'WATERWAYS ': 'See scenic Lake Monroe from the RiverWalk or on a boat tour. Lake Monroe'}
Sanford,{'BEACHES ': 'Sanford is less than an hour from area beaches. Beach day-trip itinerary Orlando North beach information'}
Sanford,{'ACCESSIBILITY ': 'Visit the area’s accessible parks and attractions. Wekiwa Springs State Park'}
Sanford,{'DINING ': 'Foodies will delight in Sanford’s selections of restaurants and breweries. Orlando North vegan food tour Orlando North brunches Must-see places for foodies Places to eat and drink'}
Sanford,{'SHOPPING ': 'Shop large retailers at the mall and interesting boutiques and antique stores downtown. Downtown shopping Antiquing Seminole Towne Center'}
Sanford,"{'GOLF ': ""Play on the area's sunny greens all year long. Mayfair Country Club More places to golf""}"
Sanford,{'PET': '-'}
Sanford,"{'FRIENDLY ADVENTURES ': ""Four-legged family members can join the fun at Sanford's dog-friendly parks, restaurants, and attractions. Paw Park of Historic Sanford Tuffy’s Music Box & Lounge Black Bear Wilderness Area""}"
Sanford,{'PLACES TO STAY ': 'Choose from a variety of accommodation types to suit any travel style or budget. Hotels Bed and breakfasts More places to stay Video tour of downtown Sanford'}
Sebring,{'LAKES ': 'The area’s lakes offer some of the best freshwater fishing in Florida. Lake Sebring Lake Istokpoga Lake Jackson More lakes'}
Sebring,"{'FAMILY FUN ': 'Check out the fun exhibits of the children’s museum, visit the playgrounds, and explore the outdoors. Children’s Museum of the Highlands Highlands Hammock State Park playgrounds More family-friendly things to do'}"
Sebring,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'See local art, catch a live performance, and visit the museums. Arts and culture Events Nightlife'}"
Sebring,"{'OUTDOOR ADVENTURES ': 'Explore the parks, fish on the lakes, and head out on the hiking trails. Agritourism Fishing Geocaching Nature More outdoor recreation Hiking and biking trails'}"
Sebring,{'ACCESSIBILITY ': 'Visit Sebring’s accessible attractions. Sebring International Raceway Highlands Hammock State Park Wheelchair-accessible trails'}
Sebring,"{'DINING ': 'Upscale or casual, Sebring’s restaurants have something for everyone. Faded Bistro & Beer Garden Apex at Seven Chicanes Restaurant & Bar More places to eat'}"
Sebring,{'SHOPPING ': 'Check out the shops in the historic downtown area or large retailers at Lakeshore Mall. Downtown Sebring Lakeshore Mall More places to shop'}
Sebring,{'SPAS ': 'Relax with a treatment at one of Sebring’s spas. The Spa at Hammock Falls Florida Lakes Spa More spas'}
Sebring,{'SPORTS ': 'Experience the excitement of Sebring’s sports scene. Racing Golf More sports'}
Sebring,{'PET': '-'}
Sebring,"{'FRIENDLY ADVENTURES ': 'Bring your four-legged best friend along to dog-friendly restaurants, parks, and attractions. Highlands Hammock State Park Faded Bistro & Beer Garden Pet-friendly travel information'}"
Sebring,{'PLACES TO STAY ': 'Sebring has accommodations to suit any travel style or budget. Hotels and motels'}
Sebring,{'RV ': 'campgrounds Vacation homes Fish camps Highlands County in 60 Seconds'}
St Cloud,{'WATERWAYS ': 'Enjoy world-class bass fishing on Lake Tohopekaliga. Lake Tohopekaliga East Lake Tohopekaliga More lakes'}
St Cloud,{'FAMILY FUN ': 'Visit kid-friendly attractions. Lakefront Park Reptile World Serpentarium Chris Lyle Aquatic Center Water parks'}
St Cloud,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Learn about St. Cloud’s history, check out the entertainment district, and see live performances. St. Cloud Heritage Museum City history Historic walking tours Live music Amusement parks and theme parks Entertainment and shows Downtown Entertainment District Downtown events Downtown murals Annual events More arts and culture'}"
St Cloud,"{'OUTDOOR ADVENTURES ': 'Take a riverboat cruise or airboat ride, bike the trails, and check out the parks. Fishing charters Riverboat cruises Electric bike tours Boat tours Airboat tours City parks'}"
St Cloud,{'BEACHES ': 'St. Cloud is roughly an hour’s drive from popular east coast beaches. Satellite Beach Melbourne Beach Cocoa Beach'}
St Cloud,{'ACCESSIBILITY ': 'Check out accessible parks and attractions. Accessible travel Accessible attractions Theme park accessibility'}
St Cloud,{'DINING ': 'Explore St. Cloud’s culinary scene. Restaurants and cafés Brunch Desserts St. Cloud culinary bike tour More places to eat and drink'}
St Cloud,{'SHOPPING ': 'Browse unique and locally-owned shops and visit the monthly market. Downtown St. Cloud Monthly Market Locally-owned shops More places to shop'}
St Cloud,{'SPORTS ': 'Tee off on one of the Orlando area’s best public golf courses. Royal St. Cloud Golf Links More golf courses Kissimmee area spectator sports'}
St Cloud,"{'PLACES TO STAY ': 'Book a stay at a vacation rental, resort, or campground. Vacation homes Hotels and resorts Campgrounds and'}"
St Cloud,{'RV ': 'parks'}
Tavares,{'WATERWAYS ': 'Experience the lakes and waterways. Lake Eustis Lake Harris Lake Dora Dora Canal More lakes and waterways'}
Tavares,{'FAMILY FUN ': 'Check out the area’s kid-friendly parks and attractions. Wooton Wonderland Children’s Playground Children’s Splash Pad Hickory Point Park Seaplane tours Far Reach Ranch Lakeside Lanes'}
Tavares,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Watch the calendar for events and festivals, visit the history museum, and see art on display. Pontoon Promenade Lake County Museum of Art Lake County Historical Museum Tavares Theater Inc. Events'}"
Tavares,{'OUTDOOR ADVENTURES ': 'Paddle and fish the lakes and explore the parks. Boating Paddling City marina and fuel dock Fishing Scuba diving City parks'}
Tavares,{'ACCESSIBILITY ': 'Check out the city’s accessible parks and attractions. Wooton Park Ingraham Park Tavares History Museum'}
Tavares,{'DINING ': 'Enjoy lakefront views and sample the local cuisine. Waterfront restaurants Outdoor dining Global cuisine Foodie favorites More places to eat'}
Tavares,{'SHOPPING ': 'Find unique items and gifts in the shops of Tavares. Through the Years Vintage Market Ariel’s Flowers & Gifts More places to shop'}
Tavares,{'SPORTS ': 'Hit the links on serene deer island. Deer Island Country Club Fisherman’s Cove Golf &'}
Tavares,{'RV ': 'Resort Inn on the Green More sports'}
Tavares,{'PET': '-'}
Tavares,{'FRIENDLY ADVENTURES ': 'Four-legged family members can join the fun at the area’s dog-friendly parks and restaurants. Aesop’s Park dog park Lake Idamere Park dog park The Dog House Fisherman’s Cove Tavares Nature Park'}
Tavares,"{'PLACES TO STAY ': 'Stay at a vacation rental, resort, campground, or chain hotel. Citrus on the Lake Fisherman’s Cove Inn On The Green Dora Canal Cottage Comfort Inn & Suites Tavares North Holiday Inn Express & Suites Tavares - Leesburg How to Do Florida: seaplane adventure'}"
Umatilla,"{'WATERWAYS ': 'Explore springs, rivers, and lakes. Ocklawaha River Lake Umatilla Lake Dorr Alexander Springs More waterways'}"
Umatilla,{'FAMILY FUN ': 'Go for an airboat ride and spend time at family-friendly parks and attractions. Umatilla Skate Park Graham Farms Alexander Springs Recreation Area Justin’s Jungle Airboat Rides Unlimited'}
Umatilla,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'See unique public art on display and learn about Umatilla’s history. Chainsaw carvings The Umatilla Museum Umatilla history Events'}"
Umatilla,{'OUTDOOR ADVENTURES ': ''}
Umatilla,{'DINING ': 'Enjoy a variety of cuisines in and around Umatilla. Indian Chef The Mason Jar Old Crow'}
Umatilla,"{'BBQ ': 'is a popular spot for Southern-style fare and barbecue, and The Mason Jar , just south of town in Dona Vista, draws in travelers of State Road 19 with a menu of homestyle eats. A stay in Umatilla means never being far from the water. Nelson’s Outdoor Resort , located on the banks of the Ocklawaha River, offers'}"
Umatilla,{'SHOPPING ': 'Visit one-of-a-kind shops. Damiani Handmade Art & Design The Old Packing House Sunsational Farms Shopping in Lake County'}
Umatilla,{'PET': '-'}
Umatilla,{'FRIENDLY ADVENTURES ': 'Check out dog-friendly parks in the area. North Lake Regional Park Ocala National Forest Lake County dog parks'}
Umatilla,{'PLACES TO STAY ': 'Stay at a campground close to the water or book a room at a charming inn. Fox Den Country Inn Olde Mill Stream'}
Umatilla,"{'RV ': 'spaces, vacation rentals, and a marina with boat slips and launches. Olde Mill Stream'}"
Wauchula,{'WATERWAYS ': 'Paddle Florida’s famed Peace River. Peace River More waterways'}
Wauchula,{'FAMILY FUN ': 'Check out family-friendly events and attractions. Hardee County Fair Peace River Pro Rodeo Classic Solomon’s Castle More community events'}
Wauchula,{'CULTURE & HISTORY ': 'Learn about the area’s pioneer history. Cracker Trail Museum Pioneer Park Heard Opera House More cultural and historical sites'}
Wauchula,{'OUTDOOR ADVENTURES ': 'Explore the parks and preserves. Hardee County Refuge City parks Paynes Creek Historic State Park Canoe Outpost-Peace River Hardee Lakes Park Pioneer Park Birding Fossil hunting The Bluffs Golf Course More outdoor recreation'}
Wauchula,{'DINING ': 'Grab a bite on Main Street. Main Plaza Bistro Giovanni’s Main Street Kitchen Java Café More places to eat'}
Wauchula,{'SHOPPING ': 'Shop clothing and more at Wauchula’s boutiques. Ryver Revival Cat’s on Main Classy Cactus Boutique More places to shop'}
Wauchula,{'PLACES TO STAY ': 'Plan a camping adventure or hotel stay. Crystal Lake Village Hardee Lakes Park Little Charlie Creek'}
Wauchula,{'RV ': 'Torrey Oaks'}
Wauchula,{'RV & ': 'Golf Resort Budget Inn Wauchula More places to stay Hardee County in 60 Seconds'}
Wildwood,"{'WATERWAYS ': 'Fish, boat, and paddle the lakes. Lake Deaton Lake Miona Lake Okahumpka Lake Panasoffkee'}"
Wildwood,{'ARTS & ENTERTAINMENT ': 'See live entertainment and learn about the area’s history. Lake Sumter Landing Market Square Brownwood Paddock Square The Baker House Scarlett O’ Hara Theater Sharon L. Morse Performing Arts Center Wildwood community events More entertainment'}
Wildwood,{'OUTDOOR ADVENTURES ': 'Explore the parks and trails. Coleman Landing Boat Ramp Half Moon Wildlife Management Area Lake Deaton Park Lake Miona Park Lake Okahumpka Park Lake Panasoffkee Wildlife Management Area Millennium Park Sharon Rose Wiechens Preserve'}
Wildwood,{'FAMILY FUN ': 'Go berry picking and visit the playgrounds. Dr. Martin Luther King Jr. Park Millennium Park Back Road Berries'}
Wildwood,{'DINING ': 'Grab a bite downtown or check out dining options in The Villages. Brownwood Paddock Square Downtown Wildwood More places to eat'}
Wildwood,{'SHOPPING ': 'Find retail therapy in downtown Wildwood and The Villages. Brownwood Paddock Square Brownwood Farmers Market More places to shop'}
Wildwood,{'GOLF ': 'The Villages is known for its sprawling private and semi-private golf courses. Continental Country Club The Villages championship golf (semi-private) Golfing in The Villages Golfing in Sumter County'}
Wildwood,"{'PLACES TO STAY ': 'Book a stay at a hotel,'}"
Wildwood,"{'RV ': 'campground, vacation rental, or bed and breakfast. The Brownwood Hotel & Spa Comfort Inn & Suites Wildwood - The Villages Home2 Suites by Hilton Wildwood The Villages More places to stay'}"
Winter Garden,{'FAMILY FUN ': 'Go for a family bike ride and visit city parks. Braddock Park Zander’s Park & Bouler Pool Newton Park Orlando-area kid-friendly attractions'}
Winter Garden,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Visit the'}"
Winter Garden,"{'SOBO ': 'Art Gallery, see a show at the Garden Theatre, and visit the museums. Arts and entertainment History and museums Special event s'}"
Winter Garden,"{'OUTDOOR ADVENTURES ': 'Take a stroll on the boardwalk at scenic Newton Park, bike the West Orange Trail, and explore Lake Apopka by boat. Bike rentals Parks More sports and outdoors'}"
Winter Garden,"{'WATERWAYS ': 'Newton Park near downtown Winter Garden is situated on the shores of Lake Apopka, the fourth-largest lake in Florida. Lake Apopka Johns Lake'}"
Winter Garden,{'ACCESSIBILITY ': 'Visit the area’s accessible parks and attractions. Accessible travel information'}
Winter Garden,"{'DINING ': 'Sample fresh offerings from the downtown area’s diverse eateries, which include fine-dining restaurants, brunch spots, bakeries, and cafes. Foxtail Coffee Co. Rosallie Le French Cafe Beneficial Breads More downtown restaurants Heritage walking food tour'}"
Winter Garden,{'SHOPPING ': 'Visit the unique and trendy shops of historic Downtown Winter Garden and national retailers at Winter Garden Village. Adjectives Market Driftwood Market Ruby and Rust Shoo Shoo Baby Boutique More downtown shopping Winter Garden Village'}
Winter Garden,{'PLACES TO STAY ': 'Stay downtown at the Historic Edgewater Hotel or choose from a multitude of Orlando-area accommodations to suit any travel style or budget. The Historic Edgewater Hotel Places to stay in the Orlando area'}
Winter Haven,{'FAMILY FUN ': 'Visit kid-friendly theme parks and other attractions.'}
Winter Haven,"{'LEGOLAND ': 'and Peppa Pig Theme Park , Winter Haven is also just 30 miles from Walt Disney World and 18 miles from Bok Tower Gardens in Lake Wales , making it an ideal destination for a park-filled getaway. With 50 lakes within or bordering its city limits, Winter Haven is known as the Chain of Lakes City and Water Ski Capital of the World . Here, visitors can watch the Cypress Gardens Water Ski Team on Lake Eloise , take a scenic boat cruise , do some kayaking or paddleboarding , and rent a pontoon boat to explore the chain of lakes and fish for bass . Off the water, there are plenty of land-based adventures to be had, from birding to exploring the parks and trails . In town, entertainment takes a variety of forms at the Historic Ritz Theater , Gram Parsons Derry Down , and Theatre Winter Haven , which has been called “one of the best community theaters in America.” Retail therapy can be found in Winter Haven’s boutiques, including Andy Thornal Company , and 417 Boutique , and foodies will delight in the city’s wide variety of restaurants , from popular waterfront eateries including Harborside Winter Haven and Harry’s Old Place to Andy’s Igloo , a family favorite since 1951, where visitors can grab burgers, shakes, and ice cream. To taste a little bit of everything, foodies can check out Winter Haven Food Tours , which offers a variety of food-tour packages. When it comes to finding a place to stay, Winter Haven has accommodations to suit any travel style or budget, from'}"
Winter Haven,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Catch a show and see public art displays. Ritz Theatre Museum of Winter Haven History Winter Haven murals Polk State College Winter Haven Art Gallery Gram Parsons Derry Down Theatre Winter Haven Events'}"
Winter Haven,"{'OUTDOOR ADVENTURES ': 'Explore the parks and trails, paddle the water, and take a boat cruise. City parks and trails Boat cruises Kayak rentals Fishing Street Nature Center'}"
Winter Haven,{'WATERWAYS ': 'Winter Haven boasts 50 lakes within or bordering its city limits. Winter haven lakes'}
Winter Haven,{'ACCESSIBILITY ': 'Check out Winter Haven’s accessible parks and attractions.'}
Winter Haven,"{'LEGOLAND ': 'and Peppa Pig Theme Park , Winter Haven is also just 30 miles from Walt Disney World and 18 miles from Bok Tower Gardens in Lake Wales , making it an ideal destination for a park-filled getaway. With 50 lakes within or bordering its city limits, Winter Haven is known as the Chain of Lakes City and Water Ski Capital of the World . Here, visitors can watch the Cypress Gardens Water Ski Team on Lake Eloise , take a scenic boat cruise , do some kayaking or paddleboarding , and rent a pontoon boat to explore the chain of lakes and fish for bass . Off the water, there are plenty of land-based adventures to be had, from birding to exploring the parks and trails . In town, entertainment takes a variety of forms at the Historic Ritz Theater , Gram Parsons Derry Down , and Theatre Winter Haven , which has been called “one of the best community theaters in America.” Retail therapy can be found in Winter Haven’s boutiques, including Andy Thornal Company , and 417 Boutique , and foodies will delight in the city’s wide variety of restaurants , from popular waterfront eateries including Harborside Winter Haven and Harry’s Old Place to Andy’s Igloo , a family favorite since 1951, where visitors can grab burgers, shakes, and ice cream. To taste a little bit of everything, foodies can check out Winter Haven Food Tours , which offers a variety of food-tour packages. When it comes to finding a place to stay, Winter Haven has accommodations to suit any travel style or budget, from'}"
Winter Haven,"{'DINING ': 'Enjoy fine dining, visit a cozy cafe or bake shop, or take a food tour. Grove Roots Brewing Co. Arabellas Ristorante Nutwood Bistro Pizza Gourmet Goodies Bake Shop Union Taproom Richard’s Fine Coffees Honeycomb Bread Bakers Haven Coffee Roasters Winter Haven Food Tours'}"
Winter Haven,"{'SHOPPING ': 'Shop the local boutiques for clothing, gifts, and outdoor gear. Andy Thornal Company 417 Boutique More places to shop'}"
Winter Haven,{'SPAS & WELLNESS ': 'Book a relaxing spa treatment or yoga session. Essential You Day Spa Spa Haven Hand and Stone Yoga Haven'}
Winter Haven,{'SPORTS ': 'Hit the links on Winter Haven’s sunny golf courses. Willowbrook Golf Course Winter Haven Tennis Center More places to golf'}
Winter Haven,{'PET': '-'}
Winter Haven,{'FRIENDLY ADVENTURES ': 'Visit dog-friendly restaurants and attractions. Jensen’s Corner Bar Dog-friendly travel information'}
Winter Haven,"{'PLACES TO STAY ': 'Choose from hotels, resorts, vacation rentals, and more. Hotels Vacation rentals Resorts'}"
Winter Haven,{'RV ': 'parks and campgrounds . Plan your trip at Visit Central Florida .'}
Winter Haven,"{'LEGOLAND': 'and Peppa Pig Theme Park , Winter Haven is also just 30 miles from Walt Disney World and 18 miles from Bok Tower Gardens in Lake Wales , making it an ideal destination for a park-filled getaway. With 50 lakes within or bordering its city limits, Winter Haven is known as the Chain of Lakes City and Water Ski Capital of the World . Here, visitors can watch the Cypress Gardens Water Ski Team on Lake Eloise , take a scenic boat cruise , do some kayaking or paddleboarding , and rent a pontoon boat to explore the chain of lakes and fish for bass . Off the water, there are plenty of land-based adventures to be had, from birding to exploring the parks and trails . In town, entertainment takes a variety of forms at the Historic Ritz Theater , Gram Parsons Derry Down , and Theatre Winter Haven , which has been called “one of the best community theaters in America.” Retail therapy can be found in Winter Haven’s boutiques, including Andy Thornal Company , and 417 Boutique , and foodies will delight in the city’s wide variety of restaurants , from popular waterfront eateries including Harborside Winter Haven and Harry’s Old Place to Andy’s Igloo , a family favorite since 1951, where visitors can grab burgers, shakes, and ice cream. To taste a little bit of everything, foodies can check out Winter Haven Food Tours , which offers a variety of food-tour packages. When it comes to finding a place to stay, Winter Haven has accommodations to suit any travel style or budget, from'}"
Winter Park,"{'FAMILY FUN ': 'Go for a scenic boat tour, visit the playgrounds, and stroll the botanical gardens. Family-friendly activities Playgrounds'}"
Winter Park,"{'MUSEUMS, ARTS & ENTERTAINMENT ': 'Visit the museums, see the opera, or catch a theater performance. Arts and entertainment Events History'}"
Winter Park,"{'OUTDOOR ADVENTURES ': 'Explore the chain of lakes by boat, cast a line, spot birds, and visit the parks. Boat tours Boating Ecotourism Fishing and birding Cycling and walking Parks'}"
Winter Park,{'BEACHES ': 'Some of Florida’s most popular beaches are within an hour’s drive of Winter Park. New Smyrna Beach Cocoa Beach'}
Winter Park,"{'WATERWAYS ': 'Kayak, boat, and fish on the Winter Park Chain of Lakes. Winter Park Chain of Lakes'}"
Winter Park,{'ACCESSIBILITY ': 'Visit Winter Park’s accessible attractions and restaurants. Accessible travel resources'}
Winter Park,"{'DINING ': 'Winter Park’s culinary scene features elegant dining, high-end restaurants, and plenty of places to wind down with live entertainment. Places to eat and drink Wineries and wine bars Nightlife and entertainment'}"
Winter Park,{'SHOPPING ': 'Explore the upscale shops of tree-lined Park Avenue or Winter Park Village. Saturday Farmers’ Market Winter Park Village More places to shop'}
Winter Park,{'PET': '-'}
Winter Park,{'FRIENDLY ADVENTURES ': 'Visit the pet-friendly park for off-leash fun. Lake Baldwin Park Pet-friendly things to do'}
Winter Park,{'SPORTS ': 'Hit the links at the city’s 18-hole course. Winter Park Pines Golf Club Winter Park Tennis Center'}
Winter Park,"{'PLACES TO STAY ': ""Stay in Winter Park or choose from the many types of accommodations in Orlando and the surrounding areas. Places to stay Barnie's Coffee, a Winter Park tradition""}"
